Date;Code INSEE région;Région;TMin (°C);TMax (°C);TMoy (°C)
2016-01-31;52;Pays de la Loire;8.25;13.7;10.98
2016-12-03;52;Pays de la Loire;2.85;8.65;5.75
2016-11-05;52;Pays de la Loire;6.75;13.05;9.9
2016-02-01;52;Pays de la Loire;11.4;13.15;12.27
2016-12-07;52;Pays de la Loire;3.05;14.05;8.55
2016-02-06;52;Pays de la Loire;6.8;14.0;10.4
2016-11-12;52;Pays de la Loire;3.35;12.7;8.02
2016-12-13;52;Pays de la Loire;6.0;14.35;10.18
2016-02-08;52;Pays de la Loire;8.75;13.05;10.9
2016-11-15;52;Pays de la Loire;7.65;13.0;10.32
2016-12-19;52;Pays de la Loire;1.3;4.7;3.0
2016-12-20;52;Pays de la Loire;0.3;5.6;2.95
2016-11-23;52;Pays de la Loire;5.9;13.0;9.45
2016-12-24;52;Pays de la Loire;5.8;11.7;8.75
2016-11-24;52;Pays de la Loire;10.75;13.95;12.35
2016-12-27;52;Pays de la Loire;1.9;8.6;5.25
2016-11-27;52;Pays de la Loire;6.05;11.05;8.55
2016-12-29;52;Pays de la Loire;-1.5;5.5;2.0
2016-02-21;52;Pays de la Loire;9.8;12.15;10.98
2016-11-29;52;Pays de la Loire;-1.05;4.55;1.75
2016-12-31;52;Pays de la Loire;-4.75;-2.95;-3.85
2016-02-23;52;Pays de la Loire;6.7;10.75;8.72
2017-01-01;52;Pays de la Loire;-4.35;3.65;-0.35
2016-02-26;52;Pays de la Loire;0.3;9.7;5.0
2016-12-05;52;Pays de la Loire;3.4;13.6;8.5
2017-01-12;52;Pays de la Loire;7.45;12.0;9.73
2017-01-17;52;Pays de la Loire;-1.4;4.1;1.35
2017-01-23;52;Pays de la Loire;-3.05;8.0;2.48
2017-01-25;52;Pays de la Loire;-3.6;2.75;-0.42
2017-01-27;52;Pays de la Loire;0.5;10.95;5.72
2016-03-19;52;Pays de la Loire;2.95;11.3;7.12
2017-02-01;52;Pays de la Loire;8.5;13.05;10.78
2016-12-25;52;Pays de la Loire;6.45;12.75;9.6
2017-02-04;52;Pays de la Loire;5.75;11.35;8.55
2016-03-22;52;Pays de la Loire;1.7;12.85;7.28
2016-12-28;52;Pays de la Loire;1.15;8.8;4.97
2016-03-25;52;Pays de la Loire;7.75;16.05;11.9
2017-02-11;52;Pays de la Loire;-4.05;4.65;0.3
2017-01-06;52;Pays de la Loire;-4.15;2.65;-0.75
