Numéro de boucle;Libellé;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Probabilité de présence d'anomalies;Jour de la semaine
0682;pont Anne de Bretagne vers Sud;2020-04-08;0;0;0;0;0;0;1;3;9;5;0;5;9;5;7;8;5;14;16;10;2;2;0;2;;3
0683;pont Anne de Bretagne vers Nord;2020-04-08;1;0;0;0;0;2;7;4;23;7;8;14;11;7;6;14;8;17;12;13;1;3;0;1;;3
0674;Pont Haudaudine vers Sud;2020-04-08;0;0;0;0;0;0;0;2;9;12;2;2;7;8;11;5;18;9;8;10;7;8;0;0;;3
0667;Entrée pont Audibert vers Nord;2020-04-08;0;0;1;0;2;6;30;34;76;40;25;16;19;45;27;29;22;32;41;28;36;16;8;3;;3
0666;Pont Audibert vers Sud;2020-04-07;2;0;0;0;1;1;3;1;4;3;4;5;6;5;8;3;18;5;9;9;5;6;0;0;;2
0745;Calvaire vers Ouest;2020-04-07;0;0;0;0;0;0;0;2;1;0;1;1;0;2;3;2;1;2;5;8;3;0;3;2;;2
0787;50 Otages Vers Sud;2020-04-07;2;0;0;0;0;2;9;22;47;12;20;5;13;19;16;9;13;13;12;15;22;7;3;0;;2
0947;Bd Malakoff vers Ouest;2020-04-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;2
0948;Bd Malakoff vers Est;2020-04-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;2
0986;Tremie vers Ouest;2020-04-07;0;0;0;0;0;0;2;2;5;3;0;1;1;1;1;4;2;2;2;1;2;1;1;1;;2
0997;Van Iseghem vers Sud;2020-04-07;0;0;0;0;0;2;1;4;10;6;2;4;0;2;0;3;4;5;3;3;1;1;0;0;;2
0946;Magellan vers Est;2020-04-07;0;0;0;0;1;0;2;5;9;3;1;1;1;5;6;3;1;6;6;3;5;1;2;0;;2
0994;Ceineray vers Est;2020-04-07;0;0;0;0;1;0;0;2;8;1;0;3;6;4;2;1;5;11;17;8;6;6;0;0;;2
0747;Chemin de halage Tortière vers Nord;2020-04-07;0;0;0;0;0;1;0;2;7;2;2;1;0;1;1;6;0;6;5;2;2;0;1;0;;2
0743;Philippot vers ouest;2020-04-07;1;0;0;0;0;0;1;5;7;3;5;2;7;10;6;3;8;10;25;12;9;5;0;0;;2
0668;De Gaulle vers sud;2020-04-07;1;0;0;0;1;1;4;5;9;5;7;3;5;5;7;5;13;13;17;9;4;3;1;3;;2
0996;Van Iseghem vers Nord;2020-04-07;0;0;0;0;0;0;1;2;8;3;2;6;7;5;6;2;5;10;12;6;4;3;2;0;;2
0676;Pont Willy Brandt vers Beaulieu;2020-04-07;0;0;0;1;0;0;0;0;3;2;3;3;2;4;2;2;6;8;4;2;1;1;0;0;;2
0682;pont Anne de Bretagne vers Sud;2020-04-07;0;1;0;0;0;0;1;4;16;6;2;4;9;5;5;7;7;9;13;9;3;2;1;0;;2
0943;Magellan vers Ouest;2020-04-07;0;0;0;0;1;0;0;1;3;2;0;0;1;0;2;0;2;1;2;0;1;0;1;0;;2
0880;Madeleine vers Nord;2020-04-07;1;0;0;0;0;1;4;28;51;18;17;11;18;24;34;18;17;23;24;16;20;9;3;3;;2
0950;avenue de la Libération vers Nord;2020-04-07;0;0;0;0;2;1;6;10;12;5;6;8;13;9;6;4;4;5;9;7;14;4;1;0;;2
0977;3 Continents vers Nord;2020-04-07;0;0;0;0;0;0;6;18;21;0;3;12;3;9;0;9;3;33;9;0;3;3;0;0;;2
0989;Kennedy vers Ouest;2020-04-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;2
0786;50 Otages Vers Nord;2020-04-07;1;0;0;1;1;3;6;29;30;23;11;14;28;21;21;20;33;57;60;46;38;26;10;4;;2
0788;50 Otages Vers Nord;2020-04-07;0;0;1;0;1;1;2;13;10;7;3;8;18;18;6;10;20;37;43;24;45;17;3;2;;2
0944;Magellan vers Est;2020-04-07;0;0;0;0;1;0;1;0;1;1;0;1;1;2;4;2;3;5;4;1;2;0;2;0;;2
0979;3 Continents vers Sud;2020-04-07;0;0;0;0;0;0;6;9;9;15;0;12;18;9;10;12;3;12;18;11;3;0;0;0;;2
0980;Pont Tabarly vers Sud;2020-04-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;2
0988;Kennedy vers Est;2020-04-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;2
0664;Bonduelle vers sud;2020-04-07;0;0;1;0;0;2;3;8;14;7;4;7;14;10;9;9;19;12;14;11;8;6;1;2;;2
0673;Pont de Pornic vers Sud;2020-04-07;0;0;0;0;0;1;2;2;3;2;4;2;1;0;0;4;4;2;2;6;1;2;0;0;;2
