Années de comptage;Identifiant du lieu de comptage;Nom du lieu de comptage;Date complète;Date;Heure;Jour de la semaine;Comptage relevé
2020;1000;Quai de la Fosse vers l'ouest;2020-09-17T14:00:00+02:00;2020-09-17;14:00:00;jeudi;121
2020;1001;Bd Kennedy devant le Chateau vers l'ouest;2020-09-17T17:30:00+02:00;2020-09-17;17:30:00;jeudi;243
2020;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2020-09-17T17:30:00+02:00;2020-09-17;17:30:00;jeudi;56
2020;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2020-09-24T14:00:00+02:00;2020-09-24;14:00:00;jeudi;12
2020;1003;Pont Audibert rive Nord vers le sud;2020-09-17T14:00:00+02:00;2020-09-17;14:00:00;jeudi;180
2020;1003;Pont Audibert rive Nord vers le sud;2020-09-24T14:00:00+02:00;2020-09-24;14:00:00;jeudi;93
2020;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2020-09-24T17:30:00+02:00;2020-09-24;17:30:00;jeudi;223
2015;1000;Quai de la Fosse vers l'est;2015-09-17T17:30:00+02:00;2015-09-17;17:30:00;jeudi;166
2015;1000;Quai de la Fosse vers l'ouest;2015-09-17T17:30:00+02:00;2015-09-17;17:30:00;jeudi;218
2013;1000;Quai de la Fosse vers l'est;2013-10-01T17:30:00+02:00;2013-10-01;17:30:00;mardi;105
2012;1000;Quai de la Fosse vers l'est;2012-09-20T17:30:00+02:00;2012-09-20;17:30:00;jeudi;117
2012;1000;Quai de la Fosse vers l'est;2012-09-27T17:30:00+02:00;2012-09-27;17:30:00;jeudi;92
2010;1000;Quai de la Fosse vers l'est;2010-09-22T14:00:00+02:00;2010-09-22;14:00:00;mercredi;59
2008;1000;Quai de la Fosse vers l'est;2008-09-17T17:30:00+02:00;2008-09-17;17:30:00;mercredi;80
2008;1000;Quai de la Fosse vers l'ouest;2008-09-10T17:30:00+02:00;2008-09-10;17:30:00;mercredi;110
2007;1000;Quai de la Fosse vers l'ouest;2007-09-12T14:00:00+02:00;2007-09-12;14:00:00;mercredi;48
2006;1000;Quai de la Fosse vers l'est;2006-09-22T14:00:00+02:00;2006-09-22;14:00:00;vendredi;34
2006;1000;Quai de la Fosse vers l'ouest;2006-09-29T14:00:00+02:00;2006-09-29;14:00:00;vendredi;39
2005;1000;Quai de la Fosse vers l'est;2005-09-15T17:30:00+02:00;2005-09-15;17:30:00;jeudi;60
2005;1000;Quai de la Fosse vers l'ouest;2005-09-15T14:00:00+02:00;2005-09-15;14:00:00;jeudi;41
2005;1000;Quai de la Fosse vers l'ouest;2005-09-22T17:30:00+02:00;2005-09-22;17:30:00;jeudi;88
2004;1000;Quai de la Fosse vers l'ouest;2004-09-15T14:00:00+02:00;2004-09-15;14:00:00;mercredi;41
2003;1000;Quai de la Fosse vers l'ouest;2003-09-15T17:30:00+02:00;2003-09-15;17:30:00;lundi;89
2001;1000;Quai de la Fosse vers l'est;2001-09-22T14:00:00+02:00;2001-09-22;14:00:00;samedi;35
2001;1000;Quai de la Fosse vers l'ouest;2001-09-15T14:00:00+02:00;2001-09-15;14:00:00;samedi;17
2000;1000;Quai de la Fosse vers l'est;2000-09-22T17:30:00+02:00;2000-09-22;17:30:00;vendredi;46
1998;1000;Quai de la Fosse vers l'est;1998-09-22T17:30:00+02:00;1998-09-22;17:30:00;mardi;48
1998;1000;Quai de la Fosse vers l'ouest;1998-09-15T14:00:00+02:00;1998-09-15;14:00:00;mardi;7
1998;1000;Quai de la Fosse vers l'ouest;1998-09-22T14:00:00+02:00;1998-09-22;14:00:00;mardi;47
2018;1001;Bd Kennedy devant le Chateau vers l'ouest;2018-09-20T14:00:00+02:00;2018-09-20;14:00:00;jeudi;104
